member,sample_id,augmentation,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_rolloff,energy
sonia,sonia_2,time_stretch,-225.45956420898438,96.91474914550781,4.386486530303955,-2.3109285831451416,-2.700019598007202,3.3676812648773193,-5.318427562713623,-5.320928573608398,-0.7008665204048157,1.4156019687652588,0.3748774826526642,-0.37052831053733826,-5.609342575073242,3707.830255681818,0.003943363670259714
sonia,sonia_2,background_noise,-169.69664041514815,74.43443359290413,10.769820729570945,-2.910933526607967,-0.8666642679650778,1.3367794930963361,-3.9499594082103497,-4.488979808588826,-0.6867515608501165,0.6039563085977923,0.7087289526650291,-2.2344098131833845,-4.118272783960035,4799.166666666667,0.009050775994182865
morsal,morsal_1,original,-359.7481689453125,93.95146179199219,-7.981987476348877,40.193389892578125,-9.691887855529785,12.08984661102295,-19.109085083007812,-7.213513374328613,-4.0209455490112305,-12.516644477844238,-0.7133894562721252,-6.252778053283691,-4.967352390289307,3298.9241803278687,0.0020354106090962887
morsal,morsal_1,pitch_shift,-372.56695556640625,75.66532897949219,2.820251941680908,25.28567886352539,-15.492812156677246,-3.3267617225646973,-25.888105392456055,3.1385610103607178,-18.31605339050293,1.550279140472412,-7.896289825439453,0.8765190243721008,-1.5263829231262207,3899.590163934426,0.0009986512595787644
morsal,morsal_1,time_stretch,-385.102294921875,92.29203033447266,-7.58534574508667,40.95067596435547,-9.970295906066895,10.981441497802734,-19.422521591186523,-7.034178733825684,-3.7244601249694824,-12.23315143585205,-1.4738795757293701,-6.572306156158447,-5.799179553985596,3306.640625,0.00109808926936239
morsal,morsal_1,background_noise,-250.12963852867318,27.667147455112406,9.305125086791403,14.36048728560307,0.9290252349127112,-1.2294112957520305,-7.654407349691241,-5.9649748881246785,-5.065385890674554,-7.296702254434341,-2.672090320759884,-3.8097704082074118,-3.829391449256689,5797.643442622951,0.0020562502738620167
morsal,morsal_2,original,-242.97613525390625,98.51763153076172,-28.924549102783203,52.37428283691406,-18.100439071655273,1.6578648090362549,-39.149375915527344,-5.102339267730713,2.1334891319274902,-15.523292541503906,7.39241361618042,-17.44269371032715,2.5563833713531494,3010.237068965517,0.007848445326089859
morsal,morsal_2,pitch_shift,-250.9967803955078,69.3932113647461,-12.037415504455566,33.39228057861328,-33.5538330078125,-16.534597396850586,-30.918886184692383,19.22110939025879,-28.63273811340332,4.540812969207764,-21.87677001953125,4.663066864013672,-13.530126571655273,3899.3803879310344,0.0033339830115437508
morsal,morsal_2,time_stretch,-266.2091979980469,93.3423843383789,-30.604862213134766,50.84001159667969,-18.64127540588379,-0.16504605114459991,-42.59012985229492,-5.960066318511963,2.5013904571533203,-16.358722686767578,6.117557525634766,-18.05107307434082,1.7829638719558716,3199.7931985294117,0.002910617971792817
morsal,morsal_2,background_noise,-186.69621473927722,47.74471017559022,0.5444138516837603,25.56150724354992,-1.787659868777173,-8.340743840636785,-27.52576833914155,-8.043996235826883,0.015193592266758255,-9.141692721173596,-0.23660781276308487,-10.645661494370003,-0.562095180036382,4606.8157327586205,0.007873139782595798
ngabo,ngabo_1,original,-346.00970458984375,103.63031768798828,10.02582836151123,8.873115539550781,2.311475992202759,14.074769973754883,-12.698325157165527,-12.686652183532715,2.3498380184173584,-4.639241695404053,6.440707683563232,-1.1361892223358154,-1.1505968570709229,3442.4143145161293,0.00421946682035923
ngabo,ngabo_1,pitch_shift,-356.1669006347656,100.80699920654297,1.9177316427230835,5.3129706382751465,2.4046499729156494,-4.5289130210876465,-25.69426727294922,8.855708122253418,-4.051762580871582,4.669119834899902,-5.370114326477051,-0.31932753324508667,0.2859235107898712,3617.5655241935483,0.0017655991250649095
ngabo,ngabo_1,time_stretch,-367.19146728515625,103.9557876586914,10.143445014953613,8.907942771911621,2.8273065090179443,13.665979385375977,-15.822931289672852,-13.25070858001709,1.4189941883087158,-6.209423542022705,5.526604652404785,-1.4332066774368286,-0.6857842206954956,3431.9349315068494,0.002082245657220483
ngabo,ngabo_1,background_noise,-229.99382184531845,46.984783717071906,16.639381349387715,3.873758063245796,4.705402014867292,6.433865385318709,-7.469228564494471,-8.599435153880115,-2.4208541444551335,-0.8495774753005955,3.899088288164982,-0.6051109410999639,0.1513224363051285,5335.433467741936,0.004244542608392759
ngabo,ngabo_2,original,-268.6826171875,127.43614959716797,-10.607865333557129,-0.7310543656349182,3.154587507247925,9.747364044189453,-16.037384033203125,-11.61331558227539,3.8546340465545654,0.0920395627617836,3.8863301277160645,-1.1506139039993286,-5.229363918304443,2527.2135416666665,0.010004030540585518
ngabo,ngabo_2,pitch_shift,-274.5553894042969,114.26664733886719,-22.687082290649414,-2.4035191535949707,0.2712003290653229,-6.2833356857299805,-21.646961212158203,10.350530624389648,-1.0305875539779663,1.3718113899230957,-9.654921531677246,-8.296581268310547,-9.004343032836914,2842.4479166666665,0.005185054615139961
ngabo,ngabo_2,time_stretch,-287.50341796875,125.79544830322266,-9.296323776245117,-2.9059767723083496,0.21496625244617462,10.043052673339844,-17.536279678344727,-12.032825469970703,1.3861103057861328,-0.34882572293281555,3.4972572326660156,-1.5289206504821777,-6.386894226074219,2457.589285714286,0.005209379363805056
ngabo,ngabo_2,background_noise,-192.13436780104516,72.97129863346449,4.964019375058023,-6.992618283743998,1.206197376457728,5.894734961438481,-8.491947762785541,-7.9963447982588765,-0.3826887830949011,0.9020970348069676,2.7587208264807597,-1.1552930391811873,-3.359213227297537,4342.838541666667,0.010018461945171298
